Date,AAPL,MSFT,QQQ,SPY
8/31/2020,125.39794158935547,215.8398895263672,285.6421203613281,323.3940124511719
9/1/2020,130.39288330078125,217.50514221191406,290.52423095703125,326.4399719238281
9/2/2020,127.6913070678711,221.6969451904297,293.2752685546875,331.1615905761719
9/3/2020,117.4682388305664,207.96353149414062,278.40618896484375,319.76
9/4/2020,117.54598999023438,205.04457092285156,274.70,317.15411376953125
9/8/2020,109.63575744628906,193.9525909423828,261.4930725097656,308.49
9/9/2020,114.00872802734375,202.21177673339844,269.1746520996094,314.5804443359375
9/10/2020,110.28683471679688,196.54611206054688,263.80816650390625,309.11810302734375
9/11/2020,108.83889770507812,195.26365661621094,261.98,309.27545166015625
9/14/2020,112.10404968261719,196.58441162109375,266.53985595703125,313.34906005859375
9/15/2020,112.27896881103516,199.80960083007812,270.3177490234375,314.9321594238281
9/16/2020,108.96521759033203,196.23988342285156,266.0071105957031,313.68231201171875
9/17/2020,107.22572326660156,194.1918487548828,261.85150146484375,310.9234313964844
9/18/2020,103.82452392578125,191.7801055908203,258.5095520019531,307.3438720703125
9/21/2020,106.97306823730469,193.8376922607422,259.1296081542969,303.9232177734375
9/22/2020,108.65423583984375,198.50804138183594,263.94390869140625,307.0184631347656
9/23/2020,104.09664154052734,191.9715118408203,255.88449096679688,299.90
9/24/2020,105.16555786132812,194.4597930908203,257.0760192871094,300.6977844238281
9/25/2020,109.11097717285156,198.89085388183594,263.0526428222656,305.5591735839844
9/28/2020,111.71533966064453,200.44125366210938,268.5159606933594,310.6343078613281
9/29/2020,110.8698959350586,198.3549041748047,267.3050842285156,308.94268798828125
9/30/2020,112.54134368896484,201.2930145263672,269.13592529296875,311.2850341796875
10/1/2020,113.49368286132812,203.3314971923828,273.41,313.2834777832031
10/2/2020,109.8301010131836,197.33087158203125,265.7164611816406,310.3089904785156
10/5/2020,113.21186065673828,201.34085083007812,271.3832702636719,315.81
10/6/2020,109.9661636352539,197.0629119873047,266.53985595703125,311.32220458984375
10/7/2020,111.83196258544922,200.81446838378906,271.1507873535156,316.7411804199219
10/8/2020,111.72503662109375,201.5322723388672,272.5939636230469,319.54840087890625
10/9/2020,113.6686019897461,206.53750610351562,276.7593078613281,322.4019775390625
10/12/2020,120.88890075683594,211.8874053955078,285.3030090332031,327.5886535644531
10/13/2020,117.68204498291016,213.2846221923828,285.29339599609375,325.4508056640625
10/14/2020,117.76949310302734,211.37057495117188,282.9104919433594,323.4057922363281
10/15/2020,117.30305480957031,210.22213745117188,281.0118408203125,323.01
10/16/2020,115.66075134277344,210.22213745117188,279.47,322.81
10/19/2020,112.70655822753906,205.02,274.9092102050781,317.90
10/20/2020,114.1933822631836,205.42735290527344,275.5000305175781,319.18
10/21/2020,113.57144165039062,205.57095336914062,275.28692626953125,318.5724182128906
10/22/2020,112.48304748535156,205.65708923339844,275.2773132324219,320.31988525390625
10/23/2020,111.79307556152344,206.93951416015625,275.8197937011719,321.40740966796875
10/26/2020,111.80280303955078,201.05374145507812,271.68353271484375,315.4678039550781
10/27/2020,113.30904388427734,204.08755493164062,273.8049621582031,314.3802490234375
10/28/2020,108.06147003173828,193.97166442871094,263.1300964355469,303.6351318359375
10/29/2020,112.07,195.9240264892578,267.73,306.7210998535156
10/30/2020,105.78750610351562,193.77072143554688,260.9408874511719,303.52349853515625
11/2/2020,105.7000503540039,193.63674926757812,261.5222473144531,306.92559814453125
11/3/2020,107.32293701171875,197.56056213378906,266.04583740234375,312.3446044921875
11/4/2020,111.70561981201172,207.09262084960938,277.9217529296875,319.32525634765625
11/5/2020,115.67045593261719,213.6961669921875,285.1674499511719,325.5530090332031
11/6/2020,115.53904724121094,214.1077117919922,285.38,325.47869873046875
11/9/2020,113.23197174072266,209.0067138671875,279.5492248535156,329.56854248046875
11/10/2020,112.89127349853516,201.94375610351562,274.54107666015625,329.09
11/11/2020,116.31780242919922,207.24575805664062,280.6824951171875,331.5298156738281
11/12/2020,116.04525756835938,206.18344116210938,279.3650817871094,328.3136901855469
11/13/2020,116.09392547607422,207.20745849609375,281.8157653808594,332.8590087890625
11/16/2020,117.1063232421875,207.8965301513672,284.01470947265625,337.01397705078125
11/17/2020,116.22047424316406,205.24557495117188,283.1138610839844,335.2013244628906
11/18/2020,114.8965835571289,202.53965759277344,281.02,331.16717529296875
11/19/2020,115.4903793334961,203.82542419433594,283.2204284667969,332.5616455078125
11/20/2020,114.22489166259766,201.87754821777344,281.2830810546875,330.2843322753906
11/23/2020,110.82756042480469,201.60891723632812,281.2928161621094,332.2640686035156
11/24/2020,112.11250305175781,205.20718383789062,285.2449951171875,337.62
11/25/2020,112.94967651367188,205.2167510986328,286.9981994628906,337.09759521484375
11/27/2020,113.49481201171875,206.52171325683594,289.6427001953125,338.0364990234375
11/30/2020,115.88949584960938,205.40867614746094,290.2335510253906,336.5398254394531
12/1/2020,119.4620590209961,207.46209716796875,293.9532470703125,340.22076416015625
12/2/2020,119.81,206.65609741210938,294.3311462402344,340.94
